NAME,EXP,POS_HEI_WEI,GRADE,AGE,SKILL,HISCH,HOTOWN,STARCOLL,COLLDIST,NUMOFF,INSTA,TWIT,TIK,NILVAL
Chet Holmgren,nan,C / 7-0 / 190,nan,nan,99.88+,Minnehaha Academy,"Minneapolis, MN",Gonzaga,1163 mi.,25,-,-,-,$297K
Paolo Banchero,nan,PF / 6-9 / 235,nan,nan,99.66+,O Dea,"Seattle, WA",Duke,2341 mi.,21,-,-,-,$241K
Jaden Hardy,nan,CG / 6-4 / 190,nan,nan,99.62+,Coronado,"Henderson, NV",NBA G League,414 mi.,25,nan,nan,nan,nan
Shaedon Sharpe,nan,SG / 6-4 / 175,nan,nan,99.52+,Dream City Christian,"Glendale, AZ",Kentucky,1577 mi.,9,-,-,-,$74K
Emoni Bates,nan,SF / 6-10 / 200,nan,nan,99.40+,Ypsi Prep Academy,"Ypsilanti, MI",Memphis,597 mi.,6,459K,29K,14.2K,$457K
Jalen Duren,nan,nan,nan,nan,99.40+,Montverde Academy,"Montverde, FL",Memphis,671 mi.,1,-,nan,-,$67K
Patrick Baldwin Jr.,nan,SF / 6-9 / 190,nan,nan,99.37+,Hamilton,"Sussex, WI",Wisconsin-Milwaukee,19 mi.,23,-,-,nan,nan
Jabari Smith,nan,PF / 6-10 / 210,nan,nan,99.35+,Sandy Creek,"Tyrone, GA",Auburn,84 mi.,18,-,-,-,$67K
Peyton Watson,nan,nan,nan,nan,99.10+,Long Beach Poly,"Long Beach, CA",UCLA,15 mi.,23,-,-,-,nan
Caleb Houstan,nan,nan,nan,nan,99.03+,Montverde Academy,"Montverde, FL",Michigan,953 mi.,16,-,nan,nan,nan
JD Davison,nan,nan,nan,nan,98.84+,Calhoun Sch,"Letohatchee, AL",Alabama,96 mi.,1,-,-,-,$292K
Kennedy Chandler,nan,nan,nan,nan,98.79+,Sunrise Christian,"Wichita, KS",Tennessee,751 mi.,25,-,-,-,$83K
Scoot Henderson,nan,PG / 6-3 / 180,nan,nan,98.79+,Kell,"Marietta, GA",NBA G League,2102 mi.,16,-,-,-,$91K
TyTy Washington,nan,nan,nan,nan,98.61+,Compass Prep,"Chandler, AZ",Kentucky,1565 mi.,25,-,-,-,$66K
Daimion Collins,2023 - present,PF / 6-9 / 210,Junior,20,98.46+,Atlanta,"Atlanta, TX",Kentucky,641 mi.,16,29K,12.9K,3K,nan
Kendall Brown,nan,nan,nan,nan,98.45,Sunrise Christian,"Wichita, KS",Baylor,424 mi.,19,-,-,-,nan
Moussa Diabate,nan,nan,nan,nan,98.44+,IMG Academy,"Bradenton, FL",Michigan,1030 mi.,1,-,-,nan,nan
Max Christie,nan,nan,nan,nan,98.39+,Rolling Meadows,"Rolling Meadows, IL",Michigan State,189 mi.,19,-,-,nan,nan
Hunter Sallis,2023 - present,CG / 6-5 / 185,Junior,-,98.28,Millard North,"Omaha, NE",Gonzaga,1144 mi.,25,33K,11.2K,21K,nan
Michael Foster,nan,PF / 6-9 / 220,nan,-,98.23,Hillcrest Prep,"Phoenix, AZ",NBA G League,638 mi.,23,-,-,nan,nan
AJ Griffin,nan,nan,nan,nan,98.07,Archbishop Stepinac,"White Plains, NY",Duke,445 mi.,16,-,-,-,$60K
Trevor Keels,nan,nan,nan,nan,98.07,Paul VI Catholic,"Fairfax, VA",Duke,214 mi.,21,-,-,-,nan
Harrison Ingram,2023 - present,SF / 6-7 / 230,Junior,-,98.00,St. Mark's,"Dallas, TX",Stanford,1465 mi.,25,15.4K,5.3K,6.6K,$173K
Nathan Bittle,2021 - present,C / 7-0 / 200,Junior,-,97.77,Prolific Prep,"Napa, CA",Oregon,384 mi.,12,8K,1.1K,1.3K,nan
Matthew Cleveland,2023 - present,CG / 6-6 / 190,Junior,-,97.77,Pace Academy,"Alpharetta, GA",Florida State,257 mi.,25,13K,2.9K,45,$217K
Enoch Boakye,nan,C / 6-10 / 240,nan,nan,97.61,George Harris Prep,"Mississauga, ON",Arizona State,7472 mi.,14,11K,1.8K,nan,nan
Bryce McGowens,nan,nan,nan,nan,97.60,Legacy Charter,"Greenville, SC",Nebraska,880 mi.,25,-,-,-,nan
Efton Reid,2023 - present,C / 7-0 / 240,Junior,-,97.57,IMG Academy,"Bradenton, FL",LSU,566 mi.,17,8.3K,2.4K,nan,nan
Aminu Mohammed,nan,SG / 6-5 / 190,nan,-,97.56,Greenwood Laboratory School,"Washington, DC",Georgetown,0 mi.,15,21K,nan,nan,nan
Brandon Huntley-Hatfield,2022 - present,PF / 6-10 / 246,Junior,-,97.51,Scotland Campus,"Clarksville, TN",Tennessee,196 mi.,17,28K,2.7K,nan,nan
Nolan Hickman,2021 - present,PG / 6-2 / 180,Junior,-,97.38,Wasatch Academy,"Mount Pleasant, UT",Gonzaga,637 mi.,12,31K,3.8K,nan,$103K
Benny Williams,2021 - present,PF / 6-8 / 208,Junior,-,97.07,IMG Academy,"Bradenton, FL",Syracuse,1137 mi.,12,7.1K,2.9K,nan,nan
Tamar Bates,nan,SG / 6-5 / 190,nan,nan,96.94,IMG Academy,"Bradenton, FL",Indiana,838 mi.,25,15.2K,11.5K,374,nan
Jaylon Tyson,2023 - present,SG / 6-6 / 210,Junior,-,96.87,John Paul II,"Plano, TX",Texas,202 mi.,12,16.5K,6.3K,561,nan
Manny Obaseki,2021 - present,SG / 6-4 / 175,Junior,-,96.71,John Paul II,"Allen, TX",Texas A&M,172 mi.,16,6.9K,1.9K,1.5K,nan
Charles Bediako,nan,PF / 6-11 / 215,nan,-,96.69,IMG Academy,"Bradenton, FL",Alabama,502 mi.,24,9.7K,2.1K,nan,nan
Langston Love,2021 - present,SG / 6-4 / 190,Redshirt Sophomore,-,96.68,Montverde Academy,"San Antonio, TX",Baylor,166 mi.,16,8.6K,2.1K,257,nan
Malaki Branham,nan,nan,nan,nan,96.63,St. Vincent-St. Mary,"Akron, OH",Ohio State,102 mi.,14,-,-,-,nan
Bryce Hopkins,2022 - present,PF / 6-7 / 220,Junior,-,96.49,Fenwick,"Oak Park, IL",Kentucky,320 mi.,19,25K,7.1K,3.1K,$126K
Jonas Aidoo,2021 - present,C / 6-11 / 241,Junior,-,96.47,Liberty Heights Athletic Institute,"Charlotte, NC",Tennessee,180 mi.,22,18.6K,3.5K,419K,$60K
Tyrese Hunter,nan,PG / 6-1 / 175,nan,-,96.46,St Catherines,"Racine, WI",Iowa State,299 mi.,25,19.8K,5.1K,1K,nan
Kowacie Reeves,2023 - present,SG / 6-6 / 192,Junior,-,96.45,Westside,"Macon, GA",Florida,231 mi.,15,130K,3.3K,1.1K,$84K
Josh Minott,nan,nan,nan,nan,96.20,St Andrew's School,"Boca Raton, FL",Memphis,845 mi.,13,-,-,-,nan
Kobe Bufkin,nan,SG / 6-4 / 175,nan,nan,96.18,Grand Rapids Christian,"Grand Rapids, MI",Michigan,103 mi.,6,13K,3.6K,nan,$103K
Jalen Warley,2021 - present,PG / 6-4 / 175,Junior,-,96.15,Westtown School,"Norristown, PA",Florida State,838 mi.,15,13.2K,1.3K,46K,nan
Mouhamed Gueye,nan,PF / 6-11 / 210,nan,nan,95.79,Prolific Prep,"Napa, CA",Washington State,617 mi.,11,4.8K,961,nan,nan
Trey Kaufman-Renn,2021 - present,PF / 6-9 / 210,Redshirt Sophomore,-,95.78,Silver Creek,"Sellersburg, IN",Purdue,157 mi.,14,7.5K,38,nan,nan
Frankie Collins,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DaRon Holmes,nan,PF / 6-8 / 195,nan,-,95.77,Montverde Academy,"Montverde, FL",Dayton,785 mi.,16,12.4K,4.1K,3K,$91K
Jordan Longino,2021 - present,SG / 6-5 / 195,Junior,-,95.74,Germantown Academy,"Fort Washington, PA",Villanova,10 mi.,10,7.3K,889,5.6K,nan
Arthur Kaluma,2023 - present,PF / 6-8 / 225,Junior,-,95.67,Dream City Christian,"Glendale, AZ",Creighton,1037 mi.,9,9.1K,4.3K,935,nan
Jordan Hawkins,nan,SG / 6-5 / 170,nan,nan,95.43,DeMatha Catholic,"Hyattsville, MD",Connecticut,315 mi.,20,16.6K,4.5K,nan,$227K
Jaden Akins,2021 - present,CG / 6-3 / 160,Junior,-,95.36,Ypsi Prep Academy,"Ypsilanti, MI",Michigan State,57 mi.,13,24K,7.4K,4.1K,nan
Kaden Perry,nan,PF / 6-9 / 230,nan,-,95.32,Battle Ground,"Battle Ground, WA",Gonzaga,271 mi.,3,3.2K,661,nan,nan
Caleb Furst,2021 - present,PF / 6-10 / 215,Junior,-,95.30,Blackhawk Christian School,"Fort Wayne, IN",Purdue,102 mi.,18,16K,8.2K,nan,nan
Will McClendon,2021 - present,SG / 6-2 / 210,Redshirt Sophomore,-,95.24,Bishop Gorman,"Las Vegas, NV",UCLA,233 mi.,12,23K,nan,9K,nan
Julian Reese,2021 - present,PF / 6-9 / 230,Junior,-,95.12,St. Frances Academy,"Owings Mills, MD",Maryland,31 mi.,9,20K,3.4K,14.8K,nan
Pierre Brooks,2023 - present,SF / 6-6 / 220,Junior,-,95.09,Douglass Academy,"Detroit, MI",Michigan State,76 mi.,16,5.6K,5.4K,nan,nan
Samson Johnson,2021 - present,PF / 6-10 / 205,Junior,-,95.08,St. Patrick,"Elizabeth, NJ",Connecticut,126 mi.,12,4.2K,777,nan,nan
Rahsool Diggins,nan,PG / 6-1 / 160,nan,-,95.05,Archbishop Wood,"Philadelphia, PA",Connecticut,198 mi.,1,9K,1.9K,673,nan
Jahmai Mashack,2021 - present,SG / 6-4 / 201,Junior,-,94.97,Etiwanda,"Rancho Cucamonga, CA",Tennessee,1900 mi.,25,5.9K,4.3K,696,nan
Dontrez Styles,2023 - present,SF / 6-7 / 205,Junior,-,94.97,Kinston,"Kinston, NC",North Carolina,100 mi.,17,16.6K,7.7K,245,nan
Dallan Coleman,2021 - present,SG / 6-6 / 218,Junior,-,94.96,West Nassau County,"Callahan, FL",Georgia Tech,266 mi.,14,11.2K,1.4K,10.9K,nan
Lawson Lovering,2023 - present,C / 7-0 / 220,Junior,-,94.84,Cheyenne Central,"Cheyenne, WY",Colorado,74 mi.,6,1.6K,615,nan,nan
Ernest Ross,2021 - present,PF / 6-9 / 210,Junior,-,94.71,Santa Fe,"Alachua, FL",NC State,468 mi.,9,6.5K,16,1.9K,nan
Zion Harmon,nan,PG / 5-10 / 160,nan,nan,94.69,Marshall County,"Benton, KY",Western Kentucky,107 mi.,15,230K,7.4K,15,$140K
Zach Clemence,2021 - present,C / 6-9 / 230,Redshirt Sophomore,-,94.67,Sunrise Christian,"San Antonio, TX",Kansas,688 mi.,8,14.8K,2K,957,nan
Ryan Nembhard,2023 - present,PG / 6-1 / 165,Junior,-,94.66,Montverde Academy,"Montverde, FL",Creighton,1188 mi.,7,12.5K,nan,nan,nan
Isa Silva,nan,PG / 6-4 / 185,nan,nan,94.38,Prolific Prep,"Napa, CA",Stanford,79 mi.,13,51K,1.9K,115K,nan
D'Marco Dunn,2023 - present,SG / 6-4 / 180,Junior,-,94.35,Westover,"Fayetteville, NC",North Carolina,71 mi.,1,14.2K,4.1K,nan,nan
KJ Adams,2021 - present,PF / 6-7 / 225,Redshirt Sophomore,-,94.35,Westlake,"Austin, TX",Kansas,623 mi.,13,24K,8K,2.8K,$79K
John Butler,nan,C / 7-1 / 190,nan,-,94.28,Christ Church Episcopal School,"Greenville, SC",Florida State,324 mi.,12,7.9K,909,nan,nan
Mason Miller,2021 - present,PF / 6-9 / 180,Redshirt Sophomore,-,94.07,Houston,"Germantown, TN",Creighton,541 mi.,6,20K,1.8K,nan,nan
Roosevelt Wheeler,nan,C / 6-11 / 240,nan,nan,93.99,John Marshall,"Richmond, VA",Louisville,456 mi.,12,7.6K,348,17.1K,nan
Trey Alexander,2021 - present,SG / 6-4 / 185,Junior,-,93.88,Heritage Hall,"Oklahoma City, OK",Creighton,409 mi.,13,14.7K,6.7K,27K,nan
Brandin Podziemski,nan,SG / 6-5 / 195,nan,nan,93.82,St. John's Northwestern Academies,"Delafield, WI",Illinois,203 mi.,14,11.2K,6.3K,nan,$68K
Logan Duncomb,2023 - present,C / 6-9 / 235,Junior,-,93.81,Archbishop Moeller,"Cincinnati, OH",Indiana,103 mi.,1,5.3K,5.9K,749,nan
Malik Thomas,nan,SG / 6-5 / 190,nan,nan,93.73,Damien,"La Verne, CA",USC,30 mi.,6,4.9K,669,nan,nan
Jakai Robinson,2021 - present,SF / 6-4 / 200,Redshirt Sophomore,-,93.62,Rock Creek Christian Academy,"Upper Marlboro, MD",Miami,923 mi.,16,2.4K,nan,nan,nan
Brandon Murray,2023 - present,SG / 6-5 / 225,Junior,-,93.57,IMG Academy,"Bradenton, FL",LSU,566 mi.,15,11K,1.4K,474,$89K
Jackson Grant,nan,PF / 6-10 / 205,nan,nan,93.57,Olympia,"Olympia, WA",Washington,50 mi.,7,1.9K,1.1K,nan,nan
Michael James,2021 - present,SF / 6-6 / 195,Redshirt Sophomore,-,93.55,Oak Ridge,"Orlando, FL",Louisville,716 mi.,12,10.2K,3.1K,nan,nan
C.J. Noland,nan,SG / 6-3 / 229,nan,nan,93.45,Waxahachie,"Waxahachie, TX",Oklahoma,200 mi.,14,17.6K,2.8K,30K,nan
K.J. Simpson,2021 - present,CG / 6-2 / 175,Junior,-,93.40,Chaminade,"West Hills, CA",Colorado,844 mi.,13,7.3K,1.1K,nan,nan
Devin Carter,2022 - present,SG / 6-4 / 175,Junior,-,93.33,Brewster Academy,"Wolfeboro, NH",South Carolina,850 mi.,22,105K,5.2K,1.5K,$67K
Shane Nowell,nan,SG / 6-5 / 190,nan,-,93.24,Eastside Catholic,"Sammamish, WA",Arizona,1212 mi.,6,2.8K,216,nan,nan
Jusaun Holt,nan,SG / 6-7 / 190,nan,nan,93.12,St Francis Day School,"Roswell, GA",Alabama,196 mi.,12,13K,2.1K,33K,nan
